eccc_wind_gust_max_kmh,weather_stress_score,worldcover_tree_pct,worldcover_shrub_grass_pct,sentinel2_ndvi_mean,sentinel2_ndmi_mean,vegetation_dryness_score,wildfire_exposure_score,distance_to_active_fire_km,planning_priority_score,tree_contact_exposure_proxy,outage_history_proxy_score
0.0,27.6,0.0,100.0,0.2479,-0.4261,100.0,16.25,20.15,33.02,39.26,15.936388888888889
0.0,27.6,12.6,84.96,0.2479,-0.4261,100.0,16.25,20.63,39.47,46.98,15.936388888888889
0.0,27.6,5.25,86.09,0.2479,-0.4261,100.0,16.25,21.11,36.42,42.89,15.936388888888889
0.0,27.6,3.98,87.53,0.2479,-0.4261,100.0,16.25,21.13,38.7,43.77,15.936388888888889
0.0,27.6,44.44,3.7,0.2479,-0.4261,100.0,16.25,20.59,42.43,55.77,15.936388888888889
0.0,27.6,29.79,68.09,0.2479,-0.4261,100.0,16.25,20.85,45.7,57.29,15.936388888888889
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,16.25,21.03,24.27,28.23,15.936388888888889
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,16.25,21.03,27.17,32.78,15.936388888888889
0.0,27.6,0.0,60.29,0.2479,-0.4261,100.0,16.25,21.15,39.59,44.64,15.936388888888889
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,16.25,21.06,40.88,46.58,15.936388888888889
0.0,27.6,0.0,100.0,0.2479,-0.4261,100.0,16.25,23.52,26.03,30.02,15.936388888888889
0.0,27.6,0.0,100.0,0.2479,-0.4261,100.0,16.25,22.33,41.13,47.06,15.936388888888889
0.0,27.6,0.0,100.0,0.2479,-0.4261,100.0,16.25,23.57,34.44,40.66,15.936388888888889
0.0,27.6,8.39,91.23,0.2479,-0.4261,100.0,16.25,27.25,34.77,41.72,15.936388888888889
0.0,27.6,26.95,69.92,0.2479,-0.4261,100.0,16.25,30.51,34.96,44.29,15.936388888888889
0.0,27.6,11.05,88.56,0.2479,-0.4261,100.0,16.25,27.24,36.48,42.83,15.936388888888889
0.0,27.6,31.13,66.54,0.2479,-0.4261,100.0,16.25,30.51,31.48,42.27,15.936388888888889
0.0,27.6,38.59,24.48,0.2479,-0.4261,100.0,6.5,62.31,39.06,52.96,15.936388888888889
0.0,27.6,32.64,66.91,0.2479,-0.4261,100.0,6.5,58.12,41.36,54.04,15.936388888888889
0.0,27.6,21.28,73.52,0.2479,-0.4261,100.0,6.5,54.28,41.28,52.59,15.936388888888889
0.0,27.6,21.73,71.03,0.2479,-0.4261,100.0,6.5,51.25,29.24,41.15,15.936388888888889
0.0,27.6,40.93,51.9,0.2479,-0.4261,100.0,6.5,52.41,29.85,44.52,15.936388888888889
0.0,27.6,18.0,78.08,0.2479,-0.4261,100.0,6.5,56.2,35.83,46.12,15.936388888888889
0.0,27.6,19.76,44.84,0.2479,-0.4261,100.0,6.5,59.19,39.24,50.61,15.936388888888889
0.0,27.6,1.61,48.62,0.2479,-0.4261,100.0,6.5,62.22,38.35,46.73,15.936388888888889
0.0,27.6,13.63,75.38,0.2479,-0.4261,100.0,6.5,65.73,35.28,44.47,15.936388888888889
0.0,27.6,43.26,48.48,0.2479,-0.4261,100.0,6.5,68.64,40.09,56.5,15.936388888888889
0.0,27.6,24.95,61.67,0.2479,-0.4261,100.0,6.5,67.18,33.98,45.0,15.936388888888889
0.0,27.6,21.84,74.95,0.2479,-0.4261,100.0,6.5,66.96,32.14,44.26,15.936388888888889
0.0,27.6,27.36,66.92,0.2479,-0.4261,100.0,6.5,70.66,40.55,54.09,15.936388888888889
0.0,27.6,27.06,42.25,0.2479,-0.4261,100.0,6.5,72.01,29.67,41.37,15.936388888888889
0.0,27.6,7.48,67.73,0.2479,-0.4261,100.0,6.5,70.01,38.02,47.45,15.936388888888889
0.0,27.6,18.5,59.93,0.2479,-0.4261,100.0,6.5,69.97,42.5,54.09,15.936388888888889
0.0,27.6,0.0,41.9,0.2479,-0.4261,100.0,6.5,70.99,34.92,41.71,15.936388888888889
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,6.5,64.58,35.84,41.94,15.936388888888889
0.0,27.6,46.38,39.75,0.2479,-0.4261,100.0,6.5,94.71,43.66,60.88,15.936388888888889
0.0,27.6,44.2,46.06,0.2479,-0.4261,100.0,6.5,92.57,44.59,61.08,15.936388888888889
0.0,27.6,50.36,32.6,0.2479,-0.4261,100.0,6.5,88.82,44.98,61.55,15.936388888888889
0.0,27.6,59.1,14.56,0.2479,-0.4261,100.0,6.5,85.09,45.51,63.38,15.936388888888889
0.0,27.6,74.12,21.09,0.2479,-0.4261,100.0,6.5,81.16,37.74,59.83,15.936388888888889
0.0,27.6,40.2,31.51,0.2479,-0.4261,100.0,6.5,76.49,40.15,56.25,15.936388888888889
0.0,27.6,5.08,27.34,0.2479,-0.4261,100.0,6.5,71.73,29.14,38.42,15.936388888888889
0.0,27.6,23.27,32.29,0.2479,-0.4261,100.0,6.5,67.14,43.07,55.5,15.936388888888889
0.0,27.6,6.06,66.67,0.2479,-0.4261,100.0,6.5,64.81,31.01,40.2,15.936388888888889
0.0,27.6,58.59,38.37,0.2479,-0.4261,100.0,6.5,87.97,41.9,60.39,15.936388888888889
