aoi_id,scene_id,tile,sensing_date,ndvi_mean,ndmi_mean,cloud_filtered_pct,status,notes
okanagan_corridor,S2C_MSIL2A_20260409T190911_N0512_R056_T10UFA_20260410T004409,T10UFA,2026-04-09,0.1742,-0.5205,0.23,processed,
okanagan_corridor,S2C_MSIL2A_20260409T190911_N0512_R056_T10UFB_20260410T004409,T10UFB,2026-04-09,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2C_MSIL2A_20260409T190911_N0512_R056_T10UFV_20260410T004409,T10UFV,2026-04-09,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2C_MSIL2A_20260409T190911_N0512_R056_T10UGA_20260410T004409,T10UGA,2026-04-09,0.2096,-0.4972,0.01,processed,
okanagan_corridor,S2C_MSIL2A_20260409T190911_N0512_R056_T10UGB_20260410T004409,T10UGB,2026-04-09,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2C_MSIL2A_20260416T185921_N0512_R013_T10UFB_20260416T231921,T10UFB,2026-04-16,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2C_MSIL2A_20260423T184921_N0512_R113_T10UGV_20260423T221523,T10UGV,2026-04-23,0.2594,-0.4396,0.03,processed,
okanagan_corridor,S2C_MSIL2A_20260426T185921_N0512_R013_T10UFA_20260427T001213,T10UFA,2026-04-26,0.2124,-0.5013,0.26,processed,
okanagan_corridor,S2C_MSIL2A_20260426T185921_N0512_R013_T10UFB_20260427T001213,T10UFB,2026-04-26,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2C_MSIL2A_20260426T185921_N0512_R013_T10UFV_20260427T001213,T10UFV,2026-04-26,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2C_MSIL2A_20260426T185921_N0512_R013_T10UGA_20260427T001213,T10UGA,2026-04-26,0.2717,-0.4405,0.17,processed,
okanagan_corridor,S2C_MSIL2A_20260426T185921_N0512_R013_T10UGB_20260427T001213,T10UGB,2026-04-26,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2C_MSIL2A_20260426T185921_N0512_R013_T10UGV_20260427T001213,T10UGV,2026-04-26,0.2552,-0.451,0.05,processed,
okanagan_corridor,S2C_MSIL2A_20260426T185921_N0512_R013_T11ULQ_20260427T001213,T11ULQ,2026-04-26,0.2537,-0.4417,0.03,processed,
okanagan_corridor,S2C_MSIL2A_20260426T185921_N0512_R013_T11ULR_20260427T001213,T11ULR,2026-04-26,0.2866,-0.4224,0.16,processed,
