eccc_wind_gust_max_kmh,weather_stress_score,worldcover_tree_pct,worldcover_shrub_grass_pct,sentinel2_ndvi_mean,sentinel2_ndmi_mean,vegetation_dryness_score,wildfire_exposure_score,distance_to_active_fire_km
0.0,27.6,0.0,41.89,0.2479,-0.4261,100.0,47.5,7.03
0.0,27.6,0.0,1.33,0.2479,-0.4261,100.0,47.5,6.3
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,47.5,6.56
0.0,27.6,93.36,3.54,0.2479,-0.4261,100.0,47.5,6.77
0.0,27.6,22.22,0.0,0.2479,-0.4261,100.0,34.5,12.92
0.0,27.6,9.95,89.04,0.2479,-0.4261,100.0,34.5,19.54
0.0,27.6,41.5,51.19,0.2479,-0.4261,100.0,34.5,19.09
0.0,27.6,0.0,100.0,0.2479,-0.4261,100.0,16.25,20.15
0.0,27.6,12.6,84.96,0.2479,-0.4261,100.0,16.25,20.63
0.0,27.6,5.25,86.09,0.2479,-0.4261,100.0,16.25,21.11
0.0,27.6,3.98,87.53,0.2479,-0.4261,100.0,16.25,21.13
0.0,27.6,44.44,3.7,0.2479,-0.4261,100.0,16.25,20.59
0.0,27.6,29.79,68.09,0.2479,-0.4261,100.0,16.25,20.85
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,16.25,21.03
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,16.25,21.03
0.0,27.6,0.0,60.29,0.2479,-0.4261,100.0,16.25,21.15
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,16.25,21.06
0.0,27.6,0.0,100.0,0.2479,-0.4261,100.0,16.25,23.52
0.0,27.6,0.0,100.0,0.2479,-0.4261,100.0,16.25,22.33
0.0,27.6,0.0,100.0,0.2479,-0.4261,100.0,16.25,23.57
0.0,27.6,8.39,91.23,0.2479,-0.4261,100.0,16.25,27.25
0.0,27.6,26.95,69.92,0.2479,-0.4261,100.0,16.25,30.51
0.0,27.6,11.05,88.56,0.2479,-0.4261,100.0,16.25,27.24
0.0,27.6,31.13,66.54,0.2479,-0.4261,100.0,16.25,30.51
0.0,27.6,38.59,24.48,0.2479,-0.4261,100.0,6.5,62.31
0.0,27.6,32.64,66.91,0.2479,-0.4261,100.0,6.5,58.12
0.0,27.6,21.28,73.52,0.2479,-0.4261,100.0,6.5,54.28
0.0,27.6,21.73,71.03,0.2479,-0.4261,100.0,6.5,51.25
0.0,27.6,40.93,51.9,0.2479,-0.4261,100.0,6.5,52.41
0.0,27.6,18.0,78.08,0.2479,-0.4261,100.0,6.5,56.2
0.0,27.6,19.76,44.84,0.2479,-0.4261,100.0,6.5,59.19
0.0,27.6,1.61,48.62,0.2479,-0.4261,100.0,6.5,62.22
0.0,27.6,13.63,75.38,0.2479,-0.4261,100.0,6.5,65.73
0.0,27.6,43.26,48.48,0.2479,-0.4261,100.0,6.5,68.64
0.0,27.6,24.95,61.67,0.2479,-0.4261,100.0,6.5,67.18
0.0,27.6,21.84,74.95,0.2479,-0.4261,100.0,6.5,66.96
0.0,27.6,27.36,66.92,0.2479,-0.4261,100.0,6.5,70.66
0.0,27.6,27.06,42.25,0.2479,-0.4261,100.0,6.5,72.01
0.0,27.6,7.48,67.73,0.2479,-0.4261,100.0,6.5,70.01
0.0,27.6,18.5,59.93,0.2479,-0.4261,100.0,6.5,69.97
0.0,27.6,0.0,41.9,0.2479,-0.4261,100.0,6.5,70.99
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,6.5,64.58
0.0,27.6,46.38,39.75,0.2479,-0.4261,100.0,6.5,94.71
0.0,27.6,44.2,46.06,0.2479,-0.4261,100.0,6.5,92.57
0.0,27.6,50.36,32.6,0.2479,-0.4261,100.0,6.5,88.82
0.0,27.6,59.1,14.56,0.2479,-0.4261,100.0,6.5,85.09
0.0,27.6,74.12,21.09,0.2479,-0.4261,100.0,6.5,81.16
0.0,27.6,40.2,31.51,0.2479,-0.4261,100.0,6.5,76.49
0.0,27.6,5.08,27.34,0.2479,-0.4261,100.0,6.5,71.73
0.0,27.6,23.27,32.29,0.2479,-0.4261,100.0,6.5,67.14
0.0,27.6,6.06,66.67,0.2479,-0.4261,100.0,6.5,64.81
0.0,27.6,58.59,38.37,0.2479,-0.4261,100.0,6.5,87.97
0.0,27.6,54.51,29.35,0.2479,-0.4261,100.0,6.5,85.18
0.0,27.6,45.21,19.59,0.2479,-0.4261,100.0,6.5,81.56
0.0,27.6,38.0,61.89,0.2479,-0.4261,100.0,6.5,79.93
0.0,27.6,25.03,68.19,0.2479,-0.4261,100.0,6.5,78.78
0.0,27.6,28.34,67.84,0.2479,-0.4261,100.0,6.5,76.54
0.0,27.6,41.6,58.0,0.2479,-0.4261,100.0,6.5,73.57
0.0,27.6,34.03,65.97,0.2479,-0.4261,100.0,6.5,70.06
0.0,27.6,66.87,30.83,0.2479,-0.4261,100.0,6.5,66.53
0.0,27.6,60.74,39.26,0.2479,-0.4261,100.0,6.5,63.32
0.0,27.6,46.28,53.72,0.2479,-0.4261,100.0,6.5,62.35
0.0,27.6,15.46,84.54,0.2479,-0.4261,100.0,6.5,61.81
0.0,27.6,32.4,67.6,0.2479,-0.4261,100.0,6.5,60.24
0.0,27.6,30.05,69.95,0.2479,-0.4261,100.0,6.5,60.0
0.0,27.6,60.51,39.49,0.2479,-0.4261,100.0,6.5,61.53
0.0,27.6,52.88,46.07,0.2479,-0.4261,100.0,6.5,62.65
0.0,27.6,0.0,100.0,0.2479,-0.4261,100.0,6.5,63.6
0.0,27.6,,,0.2479,-0.4261,100.0,6.5,64.81
0.0,27.6,,,0.2479,-0.4261,100.0,6.5,66.33
0.0,27.6,,,0.2479,-0.4261,100.0,6.5,68.19
0.0,27.6,,,0.2479,-0.4261,100.0,6.5,70.34
0.0,27.6,,,0.2479,-0.4261,100.0,6.5,72.09
0.0,27.6,,,0.2479,-0.4261,100.0,6.5,71.55
0.0,27.6,,,0.2479,-0.4261,100.0,6.5,70.97
0.0,27.6,53.28,43.34,0.2479,-0.4261,100.0,6.5,87.92
0.0,27.6,46.86,38.89,0.2479,-0.4261,100.0,6.5,85.11
0.0,27.6,33.83,19.5,0.2479,-0.4261,100.0,6.5,81.49
0.0,27.6,30.07,69.61,0.2479,-0.4261,100.0,6.5,79.88
0.0,27.6,55.39,38.49,0.2479,-0.4261,100.0,6.5,78.74
0.0,27.6,27.09,71.35,0.2479,-0.4261,100.0,6.5,76.49
0.0,27.6,51.4,47.8,0.2479,-0.4261,100.0,6.5,73.51
0.0,27.6,11.29,88.71,0.2479,-0.4261,100.0,6.5,70.01
0.0,27.6,73.45,25.45,0.2479,-0.4261,100.0,6.5,66.46
0.0,27.6,47.7,52.3,0.2479,-0.4261,100.0,6.5,63.26
0.0,27.6,56.0,44.0,0.2479,-0.4261,100.0,6.5,62.3
0.0,27.6,12.14,87.86,0.2479,-0.4261,100.0,6.5,61.76
0.0,27.6,21.61,78.39,0.2479,-0.4261,100.0,6.5,60.19
0.0,27.6,6.66,93.34,0.2479,-0.4261,100.0,6.5,59.71
0.0,27.6,40.47,59.53,0.2479,-0.4261,100.0,6.5,60.4
0.0,27.6,61.84,38.16,0.2479,-0.4261,100.0,6.5,62.27
0.0,27.6,2.43,97.57,0.2479,-0.4261,100.0,6.5,63.56
0.0,27.6,,,0.2479,-0.4261,100.0,6.5,64.77
0.0,27.6,,,0.2479,-0.4261,100.0,6.5,66.3
0.0,27.6,,,0.2479,-0.4261,100.0,6.5,68.16
0.0,27.6,,,0.2479,-0.4261,100.0,6.5,70.32
0.0,27.6,,,0.2479,-0.4261,100.0,6.5,72.04
0.0,27.6,,,0.2479,-0.4261,100.0,6.5,71.49
0.0,27.6,,,0.2479,-0.4261,100.0,6.5,70.93
0.0,27.6,27.79,61.53,0.2479,-0.4261,100.0,6.5,52.32
0.0,27.6,27.37,55.47,0.2479,-0.4261,100.0,6.5,56.24
0.0,27.6,38.54,44.92,0.2479,-0.4261,100.0,6.5,59.88
0.0,27.6,4.21,29.61,0.2479,-0.4261,100.0,6.5,61.63
0.0,27.6,20.99,64.98,0.2479,-0.4261,100.0,6.5,64.69
0.0,27.6,18.36,63.72,0.2479,-0.4261,100.0,6.5,68.0
0.0,27.6,42.49,37.84,0.2479,-0.4261,100.0,6.5,67.94
0.0,27.6,40.22,58.21,0.2479,-0.4261,100.0,6.5,66.57
0.0,27.6,11.76,80.18,0.2479,-0.4261,100.0,6.5,69.37
0.0,27.6,45.9,46.22,0.2479,-0.4261,100.0,6.5,72.46
0.0,27.6,19.38,80.62,0.2479,-0.4261,100.0,6.5,71.46
0.0,27.6,1.31,86.24,0.2479,-0.4261,100.0,6.5,70.73
0.0,27.6,36.44,59.48,0.2479,-0.4261,100.0,6.5,72.29
0.0,27.6,72.85,23.18,0.2479,-0.4261,100.0,6.5,76.3
0.0,27.6,47.33,52.67,0.2479,-0.4261,100.0,6.5,80.81
0.0,27.6,33.23,63.75,0.2479,-0.4261,100.0,6.5,85.46
0.0,27.6,64.93,30.9,0.2479,-0.4261,100.0,6.5,90.07
0.0,27.6,35.28,54.99,0.2479,-0.4261,100.0,6.5,93.47
0.0,27.6,,,0.2479,-0.4261,100.0,6.5,96.49
0.0,27.6,,,0.2479,-0.4261,100.0,6.5,98.88
0.0,27.6,,,0.2479,-0.4261,100.0,6.5,101.78
0.0,27.6,,,0.2479,-0.4261,100.0,6.5,104.71
0.0,27.6,,,0.2479,-0.4261,100.0,6.5,106.36
0.0,27.6,52.15,29.55,0.2479,-0.4261,100.0,6.5,73.5
0.0,27.6,62.89,34.88,0.2479,-0.4261,100.0,6.5,76.9
0.0,27.6,0.0,0.0,0.2479,-0.4261,100.0,6.5,71.36
0.0,27.6,49.84,48.26,0.2479,-0.4261,100.0,6.5,87.92
0.0,27.6,31.97,56.05,0.2479,-0.4261,100.0,6.5,85.06
0.0,27.6,30.68,31.33,0.2479,-0.4261,100.0,6.5,81.33
0.0,27.6,28.53,71.47,0.2479,-0.4261,100.0,6.5,80.51
0.0,27.6,18.41,81.59,0.2479,-0.4261,100.0,6.5,84.63
0.0,27.6,22.76,54.87,0.2479,-0.4261,100.0,6.5,89.08
0.0,27.6,32.47,67.53,0.2479,-0.4261,100.0,6.5,92.69
0.0,27.6,68.61,28.7,0.2479,-0.4261,100.0,6.5,94.42
0.0,27.6,59.11,40.79,0.2479,-0.4261,100.0,16.25,40.85
0.0,27.6,45.83,53.43,0.2479,-0.4261,100.0,16.25,43.93
0.0,27.6,68.63,31.06,0.2479,-0.4261,100.0,16.25,40.84
0.0,27.6,47.48,52.04,0.2479,-0.4261,100.0,16.25,43.95
0.0,27.6,3.53,65.98,0.2479,-0.4261,100.0,16.25,48.58
0.0,27.6,36.54,56.81,0.2479,-0.4261,100.0,16.25,46.05
0.0,27.6,10.74,78.15,0.2479,-0.4261,100.0,16.25,47.57
0.0,27.6,15.04,84.96,0.2479,-0.4261,100.0,16.25,45.39
0.0,27.6,21.48,14.77,0.2479,-0.4261,100.0,16.25,49.75
0.0,27.6,25.0,56.25,0.2479,-0.4261,100.0,6.5,50.16
0.0,27.6,0.0,73.33,0.2479,-0.4261,100.0,6.5,50.17
0.0,27.6,18.66,56.83,0.2479,-0.4261,100.0,6.5,52.09
0.0,27.6,18.6,79.31,0.2479,-0.4261,100.0,16.25,49.84
0.0,27.6,31.58,53.68,0.2479,-0.4261,100.0,16.25,49.96
0.0,27.6,6.77,39.96,0.2479,-0.4261,100.0,6.5,55.7
0.0,27.6,22.59,46.25,0.2479,-0.4261,100.0,6.5,52.72
0.0,27.6,15.93,80.19,0.2479,-0.4261,100.0,6.5,50.04
0.0,27.6,4.63,92.17,0.2479,-0.4261,100.0,16.25,49.89
0.0,27.6,10.81,37.84,0.2479,-0.4261,100.0,6.5,50.02
0.0,27.6,50.63,25.32,0.2479,-0.4261,100.0,6.5,50.11
0.0,27.6,56.76,37.84,0.2479,-0.4261,100.0,6.5,50.09
0.0,27.6,21.09,78.91,0.2479,-0.4261,100.0,6.5,50.39
0.0,27.6,24.5,62.1,0.2479,-0.4261,100.0,6.5,88.07
0.0,27.6,10.35,71.72,0.2479,-0.4261,100.0,6.5,84.36
0.0,27.6,32.89,67.11,0.2479,-0.4261,100.0,6.5,80.04
0.0,27.6,28.38,71.62,0.2479,-0.4261,100.0,6.5,76.44
0.0,27.6,49.31,50.69,0.2479,-0.4261,100.0,6.5,73.01
0.0,27.6,11.47,88.53,0.2479,-0.4261,100.0,6.5,68.32
0.0,27.6,13.05,86.95,0.2479,-0.4261,100.0,6.5,63.42
0.0,27.6,26.24,73.35,0.2479,-0.4261,100.0,6.5,58.57
0.0,27.6,19.81,80.09,0.2479,-0.4261,100.0,6.5,54.65
0.0,27.6,54.81,45.19,0.2479,-0.4261,100.0,6.5,51.75
0.0,27.6,19.23,67.14,0.2479,-0.4261,100.0,6.5,88.1
0.0,27.6,7.92,73.11,0.2479,-0.4261,100.0,6.5,84.41
0.0,27.6,29.75,70.25,0.2479,-0.4261,100.0,6.5,80.09
0.0,27.6,23.19,76.81,0.2479,-0.4261,100.0,6.5,76.48
0.0,27.6,59.22,40.78,0.2479,-0.4261,100.0,6.5,73.06
0.0,27.6,18.16,81.84,0.2479,-0.4261,100.0,6.5,68.38
0.0,27.6,5.43,94.57,0.2479,-0.4261,100.0,6.5,63.49
0.0,27.6,25.39,74.1,0.2479,-0.4261,100.0,6.5,58.63
